Key	Press_Time	Relase_Time	Daylight	
$	2021-09-07 08:42:26.391704	2021-09-07 08:42:26.660205	Morning
$	2021-09-07 08:42:26.661184	2021-09-07 08:42:26.868746	Morning
$	2021-09-07 08:42:26.869724	2021-09-07 08:42:27.024059	Morning
$	2021-09-07 08:42:26.601664	2021-09-07 08:42:27.026955	Morning
$	2021-09-07 08:42:27.024988	2021-09-07 08:42:27.080699	Morning
$	2021-09-07 08:50:23.377098	2021-09-07 08:50:23.641728	Morning
$	2021-09-07 08:50:23.641728	2021-09-07 08:50:23.904408	Morning
$	2021-09-07 08:50:24.071389	2021-09-07 08:50:24.254973	Morning
enter	2021-09-07 08:50:24.817436	2021-09-07 08:50:24.998090	Morning
delete	2021-09-07 09:35:30.394135	2021-09-07 09:35:30.653881	Morning
shift_r	2021-09-07 09:35:29.555320	2021-09-07 09:35:30.702706	Morning
enter	2021-09-07 09:35:33.810907	2021-09-07 09:35:33.915391	Morning
$	2021-09-07 09:36:03.457447	2021-09-07 09:36:03.654698	Morning
ctrl_l	2021-09-07 09:36:02.927207	2021-09-07 09:36:03.696688	Morning
ctrl_l	2021-09-07 09:36:08.112421	2021-09-07 09:36:09.899419	Morning
$	2021-09-07 09:36:11.838745	2021-09-07 09:36:12.034048	Morning
ctrl_l	2021-09-07 09:36:11.601457	2021-09-07 09:36:12.176615	Morning
$	2021-09-07 09:38:17.641770	2021-09-07 09:38:17.765771	Morning
ctrl_l	2021-09-07 09:38:13.375426	2021-09-07 09:38:17.854633	Morning
$	2021-09-07 09:38:21.575145	2021-09-07 09:38:21.675677	Morning
shift	2021-09-07 09:38:20.955019	2021-09-07 09:38:21.830941	Morning
$	2021-09-07 09:38:22.289923	2021-09-07 09:38:22.367080	Morning
$	2021-09-07 09:38:23.199017	2021-09-07 09:38:23.347447	Morning
shift	2021-09-07 09:38:22.833807	2021-09-07 09:38:23.401152	Morning
$	2021-09-07 09:38:24.104233	2021-09-07 09:38:24.175525	Morning
shift	2021-09-07 09:38:23.881592	2021-09-07 09:38:24.334689	Morning
$	2021-09-07 09:38:28.822682	2021-09-07 09:38:28.964272	Morning
shift	2021-09-07 09:38:27.673340	2021-09-07 09:38:29.030676	Morning
$	2021-09-07 09:38:29.317767	2021-09-07 09:38:29.452522	Morning
$	2021-09-07 09:38:30.761034	2021-09-07 09:38:30.826458	Morning
arrow_key	2021-09-07 09:38:40.190116	2021-09-07 09:38:40.301440	Morning
arrow_key	2021-09-07 09:38:40.502597	2021-09-07 09:38:40.591459	Morning
arrow_key	2021-09-07 09:38:40.914680	2021-09-07 09:38:41.052367	Morning
arrow_key	2021-09-07 09:38:41.230090	2021-09-07 09:38:41.314068	Morning
arrow_key	2021-09-07 09:38:41.539639	2021-09-07 09:38:41.681232	Morning
$	2021-09-07 09:38:42.602072	2021-09-07 09:38:42.720228	Morning
shift_r	2021-09-07 09:38:42.119680	2021-09-07 09:38:42.792489	Morning
enter	2021-09-07 09:38:43.854922	2021-09-07 09:38:43.947689	Morning
$	2021-09-07 09:38:52.264541	2021-09-07 09:38:52.407111	Morning
ctrl_l	2021-09-07 09:38:52.017484	2021-09-07 09:38:52.494018	Morning
$	2021-09-07 09:40:18.426994	2021-09-07 09:40:18.503161	Morning
shift	2021-09-07 09:40:18.185799	2021-09-07 09:40:18.624246	Morning
$	2021-09-07 09:40:19.002151	2021-09-07 09:40:19.091990	Morning
$	2021-09-07 09:40:20.345816	2021-09-07 09:40:20.501079	Morning
$	2021-09-07 09:40:21.289115	2021-09-07 09:40:21.402388	Morning
shift	2021-09-07 09:40:20.046030	2021-09-07 09:40:21.514686	Morning
$	2021-09-07 09:40:23.463780	2021-09-07 09:40:23.662988	Morning
